1,76,1
1,113,1
3,147,1
3,171,1
3,319,1
3,325,1
3,454,1
3,531,1
4,328,1
5,431,1
6,34,1
7,125,1
8,460,1
9,122,1
9,985,1
10,65,1
10,367,1
11,424,1
11,494,1
11,495,1
11,986,1
11,1164,1
11,1165,1
11,1166,1
12,27,1
12,50,1
13,72,1
13,274,1
13,303,1
13,422,1
13,461,1
13,988,1
13,989,1
13,990,1
13,1167,1
13,1168,1
13,1169,1
13,1170,1
13,1171,1
14,99,1
15,265,1
15,270,1
15,991,1
15,992,1
15,993,1
16,279,1
16,367,1
16,431,1
16,923,1
16,925,1
17,27,1
17,244,1
17,279,1
17,310,1
17,359,1
17,363,1
17,431,1
17,443,1
18,99,1
18,395,1
20,120,1
20,135,1
20,745,1
20,857,1
20,1204,1
21,539,1
21,1061,1
23,182,1
23,261,1
23,420,1
23,440,1
23,450,1
23,555,1
24,7,1
24,280,1
24,425,1
24,547,1
25,27,1
25,50,1
25,323,1
26,103,1
26,1149,1
26,1150,1
27,49,1
27,695,1
28,190,1
29,65,1
31,59,1
32,44,1
32,83,1
32,115,1
32,238,1
32,378,1
32,402,1
33,289,1
33,329,1
35,431,1
36,166,1
36,224,1
36,264,1
36,369,1
36,375,1
36,462,1
37,427,1
39,116,1
39,365,1
39,403,1
41,297,1
41,328,1
41,1001,1
42,291,1
42,318,1
42,362,1
42,453,1
42,461,1
43,204,1
44,72,1
44,274,1
44,303,1
44,422,1
44,461,1
44,988,1
44,989,1
44,990,1
44,1167,1
44,1168,1
44,1169,1
44,1170,1
44,1171,1
47,143,1
47,187,1
47,316,1
47,1039,1
47,1177,1
47,1178,1
47,1179,1
47,1180,1
47,1181,1
48,109,1
49,13,1
49,27,1
49,50,1
49,84,1
49,140,1
49,165,1
49,166,1
49,176,1
49,195,1
49,222,1
49,233,1
49,257,1
49,289,1
49,310,1
49,323,1
49,327,1
49,329,1
49,331,1
49,369,1
49,375,1
49,436,1
49,462,1
49,562,1
50,166,1
50,224,1
50,257,1
50,310,1
50,369,1
51,13,1
51,84,1
51,165,1
51,166,1
51,195,1
51,222,1
51,224,1
51,257,1
51,310,1
51,327,1
51,331,1
51,369,1
51,375,1
51,436,1
51,462,1
53,109,1
55,239,1
58,99,1
58,395,1
59,13,1
59,84,1
59,165,1
59,166,1
59,195,1
59,222,1
59,224,1
